Name,District,TermBeginDate,TermEndDate,Officier
"A.L. Mills, Jr.",San Francisco,1952-02-18,1965-02-28,Governor
Adolph C. Miller,San Francisco,1914-08-10,1936-02-03,Governor
Adriana D. Kugler,Richmond,2023-09-13,,Governor
Alan Greenspan,New York,1987-08-11,2006-01-31,Governor
Alan Greenspan,New York,1987-08-11,2006-01-31,Chair
Alan S. Blinder,Philadelphia,1994-06-27,1996-01-31,Governor
Alan S. Blinder,Philadelphia,1994-06-27,1996-01-31,Vice Chair
Albert Strauss,New York,1918-10-26,1920-03-15,Governor
Alice M. Rivlin,Philadelphia,1996-06-25,1999-07-16,Governor
Alice M. Rivlin,Philadelphia,1996-06-25,1999-07-16,Vice Chair
Andrew F. Brimmer,Philadelphia,1966-03-09,1974-08-31,Governor
Andrew W. Mellon,Secretary of the Treasury,1921-03-04,1932-02-12,Governor
Arthur F. Burns,New York,1970-01-31,1978-03-31,Governor
Arthur F. Burns,New York,1970-02-01,1978-01-31,Chair
Ben S. Bernanke,Atlanta,2002-08-05,2005-06-21,Governor
Ben S. Bernanke,Atlanta,2006-02-01,2014-01-31,Chair
C. Canby Balderston,Philadelphia,1954-08-12,1966-02-28,Governor
C. Canby Balderston,Philadelphia,1955-03-11,1966-02-28,Vice Chair
Carter Glass,Secretary of the Treasury,1918-12-16,1920-02-01,Governor
Charles S. Hamlin,Boston,1914-08-10,1936-02-01,Governor
Chas. N. Shepardson,Dallas,1955-03-17,1967-04-30,Governor
Chester C. Davis,Richmond,1936-06-25,1941-04-15,Governor
Christopher J. Waller,Minneapolis,2020-12-18,,Governor
Daniel K. Tarullo,Boston,2009-01-28,2017-04-05,Governor
Daniel R. Crissinger,Comptroller of the Currency,1921-03-17,1927-09-15,Governor
Daniel R. Crissinger,Cleveland,1923-05-01,1927-09-15,Governor
David C. Wills,Cleveland,1920-09-29,1921-03-04,Governor
David F. Houston,Secretary of the Treasury,1920-02-02,1921-03-03,Governor
David M. Lilly,Minneapolis,1976-06-01,1978-02-24,Governor
"David W. Mullins, Jr.",St. Louis,1990-05-21,1994-02-14,Governor
"David W. Mullins, Jr.",St. Louis,1991-07-24,1994-02-14,Vice Chair
Donald L. Kohn,Kansas City,2002-08-05,2010-09-01,Governor
Donald L. Kohn,Kansas City,2006-06-23,2010-06-23,Vice Chair
Edmund Platt,New York,1920-06-08,1930-09-14,Governor
Edward H. Cunningham,Chicago,1923-05-14,1930-11-28,Governor
Edward L. Norton,Atlanta,1950-09-01,1952-01-31,Governor
Edward M. Gramlich,Richmond,1997-11-05,2005-08-31,Governor
"Edward W. Kelley, Jr.",Dallas,1987-05-26,2001-12-31,Governor
Elizabeth A. Duke,Philadelphia,2008-08-05,2013-08-31,Governor
Emmett J. Rice,New York,1979-06-20,1986-12-31,Governor
Ernest G. Draper,New York,1938-03-30,1950-09-01,Governor
Eugene Meyer,New York,1930-09-16,1933-05-10,Governor
Eugene R. Black,Atlanta,1933-05-19,1934-08-15,Governor
Frederic A. Delano,Chicago,1914-08-10,1918-07-21,Governor
Frederic S. Mishkin,Boston,2006-09-05,2008-08-31,Governor
Frederick H. Schultz,Atlanta,1979-07-27,1982-02-11,Governor
Frederick H. Schultz,Atlanta,1979-07-27,1982-02-11,Vice Chair
G. William Miller,San Francisco,1978-03-08,1979-08-06,Governor
G. William Miller,San Francisco,1978-03-08,1979-08-06,Chair
"G.H. King, Jr.",Atlanta,1959-03-25,1963-09-18,Governor
George R. James,St. Louis,1923-05-14,1936-02-03,Governor
George W. Mitchell,Chicago,1961-08-31,1976-02-13,Governor
George W. Mitchell,Chicago,1973-05-01,1976-02-13,Vice Chair
H. Robert Heller,San Francisco,1986-08-19,1989-07-31,Governor
Henry A. Moehlenpah,Chicago,1919-11-10,1920-08-09,Governor
Henry C. Wallich,Boston,1974-03-08,1986-12-15,Governor
Henry M. Dawes,Comptroller of the Currency,1923-05-01,1924-12-17,Governor
"Henry Morgenthau, Jr.",Secretary of the Treasury,1934-01-01,1936-02-01,Governor
J. Charles Partee,Richmond,1976-01-05,1986-02-07,Governor
J. Dewey Daane,Richmond,1963-11-29,1974-03-08,Governor
J.F.T. O'Connor,Comptroller of the Currency,1933-05-11,1936-02-01,Governor
J.J. Thomas,Kansas City,1933-06-14,1936-02-10,Governor
J.L. Robertson,Kansas City,1952-02-18,1973-04-30,Governor
J.L. Robertson,Kansas City,1966-03-01,1973-04-30,Vice Chair
J.W. Pole,Comptroller of the Currency,1928-11-21,1932-09-20,Governor
"James K. Vardaman, Jr.",St. Louis,1946-04-04,1958-11-30,Governor
Janet L. Yellen,San Francisco,1994-08-12,1997-02-17,Governor
Janet L. Yellen,San Francisco,2010-10-04,2014-02-03,Vice Chair
Janet L. Yellen,San Francisco,2014-02-03,2018-02-03,Chair
Jeffrey M. Bucher,San Francisco,1972-06-05,1976-01-02,Governor
Jeremy C. Stein,Chicago,2012-05-30,2014-05-28,Governor
Jerome H. Powell,Philadelphia,2012-05-25,,Governor
Jerome H. Powell,Philadelphia,2018-02-05,,Chair
John E. Sheehan,St. Louis,1972-01-04,1975-06-01,Governor
John K. McKee,Cleveland,1936-02-03,1946-04-04,Governor
John P. LaWare,Boston,1988-08-15,1995-04-30,Governor
John R. Mitchell,Minneapolis,1921-05-12,1923-05-12,Governor
John Skelton Williams,Comptroller of the Currency,1914-02-02,1921-03-02,Governor
Joseph A. Broderick,New York,1936-02-03,1937-09-30,Governor
Joseph W. McIntosh,Comptroller of the Currency,1924-12-20,1928-11-20,Governor
Kevin M. Warsh,New York,2006-02-24,2011-04-02,Governor
Lael Brainard,Richmond,2014-06-16,2023-02-18,Governor
Lael Brainard,Richmond,2022-05-23,2023-02-18,Vice Chair
Laurence H. Meyer,St. Louis,1996-06-24,2002-01-31,Governor
Lawrence B. Lindsey,Richmond,1991-11-26,1997-02-05,Governor
Lawrence Clayton,Boston,1947-02-14,1949-12-04,Governor
Lisa D. Cook,Atlanta,2022-05-23,,Governor
Lyle E. Gramley,Kansas City,1980-05-28,1985-09-01,Governor
M.S. Szymczak,Chicago,1933-06-14,1961-05-31,Governor
Manuel H. Johnson,Richmond,1986-02-07,1990-08-03,Governor
Manuel H. Johnson,Richmond,1986-08-04,1990-08-03,Vice Chair
Mark W. Olson,Minneapolis,2001-12-07,2006-06-30,Governor
Marriner S. Eccles,San Francisco,1934-11-15,1951-07-14,Governor
Marriner S. Eccles,San Francisco,1936-02-01,1948-01-31,Chair
Martha R. Seger,Chicago,1984-07-02,1991-03-11,Governor
Michael S. Barr,Chicago,2022-07-19,,Governor
Michael S. Barr,Chicago,2022-07-19,,Vice Chair for Supervision
Michelle W. Bowman,St. Louis,2018-11-26,,Governor
Milo D. Campbell,Chicago,1923-03-14,1923-03-22,Governor
Nancy H. Teeters,Chicago,1978-09-18,1984-06-27,Governor
Ogden L. Mills,Secretary of the Treasury,1932-02-12,1933-03-04,Governor
Oliver S. Powell,Minneapolis,1950-09-01,1952-06-30,Governor
Paul A. Volcker,Philadelphia,1979-08-06,1987-08-11,Governor
Paul A. Volcker,Philadelphia,1979-08-06,1987-08-11,Chair
Paul E. Miller,Minneapolis,1954-08-13,1954-10-21,Governor
Paul M. Warburg,New York,1914-08-10,1918-08-09,Governor
"Philip C. Jackson, Jr.",Atlanta,1975-07-14,1978-11-17,Governor
Philip E. Coldwell,Dallas,1974-10-29,1980-02-29,Governor
Philip N. Jefferson,New York,2022-05-23,,Governor
Philip N. Jefferson,New York,2023-09-13,,Vice Chair
Preston Martin,San Francisco,1982-03-31,1986-04-30,Governor
Preston Martin,San Francisco,1982-03-31,1986-04-30,Vice Chair
Ralph W. Morrison,Dallas,1936-02-10,1936-07-09,Governor
Randal K. Quarles,Kansas City,2017-10-13,2021-10-13,Vice Chair for Supervision
Randal K. Quarles,Kansas City,2017-10-13,2021-12-25,Governor
Randall S. Kroszner,Richmond,2006-03-01,2009-01-21,Governor
Richard H. Clarida,Boston,2018-09-17,2022-01-14,Governor
Richard H. Clarida,Boston,2018-09-17,2022-01-14,Vice Chair
Robert C. Holland,Kansas City,1973-06-11,1976-05-15,Governor
"Roger W. Ferguson, Jr.",Boston,1997-11-05,2006-04-28,Governor
"Roger W. Ferguson, Jr.",Boston,1999-10-05,2006-04-28,Vice Chair
Ronald Ransom,Atlanta,1936-02-03,1947-12-02,Governor
Ronald Ransom,Atlanta,1936-08-06,1947-12-02,Vice Chair
Roy A. Young,Minneapolis,1927-10-04,1930-08-31,Governor
Rudolph M. Evans,Richmond,1942-03-14,1954-08-13,Governor
Sarah Bloom Raskin,Richmond,2010-10-04,2014-03-13,Governor
Sherman J. Maisel,San Francisco,1965-04-30,1972-05-31,Governor
Stanley Fischer,New York,2014-05-28,2017-10-16,Governor
Stanley Fischer,New York,2014-06-16,2017-10-16,Vice Chair
Stephen S. Gardner,Philadelphia,1976-02-13,1978-11-19,Governor
Stephen S. Gardner,Philadelphia,1976-02-13,1978-11-19,Vice Chair
Susan M. Phillips,Chicago,1991-12-02,1998-06-30,Governor
Susan S. Bies,Chicago,2001-12-07,2007-03-30,Governor
Thomas B. McCabe,Philadelphia,1948-04-15,1951-03-31,Governor
Thomas B. McCabe,Philadelphia,1948-04-15,1951-03-31,Chair
W.G. McAdoo,Secretary of the Treasury,1913-12-23,1918-12-15,Governor
W.P.G. Harding,Atlanta,1914-08-10,1922-08-09,Governor
Wayland W. Magee,Kansas City,1931-05-18,1933-01-24,Governor
Wayne D. Angell,Kansas City,1986-02-07,1994-02-09,Governor
William H. Woodin,Secretary of the Treasury,1933-03-04,1933-12-31,Governor
William W. Sherrill,Dallas,1967-05-01,1971-11-15,Governor
"Wm. McC. Martin, Jr",New York,1951-04-02,1970-01-31,Chair
"Wm. McC. Martin, Jr.",New York,1951-04-02,1970-01-31,Governor
